acid,2,2.5,2.611111111,2.644444444,33000,2.962962963
faery's tear,1,1.25,1.416666667,1.458333333,40000,2.962962963
volcanic rock,0.5,0.625,0.675,0.7166666667,60000,2.962962963
abyss shell,0.25,0.3333333333,0.3666666667,0.3944444444,97500,2.222222222
phoenix feather,0.1666666667,0.2222222222,0.2638888889,0.2638888889,90000,1.481481481
eternal ice,0.08333333333,0.1166666667,0.1416666667,0.1416666667,175000,1.481481481
demon horn,0.08333333333,0.1388888889,0.1638888889,0.1638888889,750000,1.481481481
moon stone,0.05555555556,0.1111111111,0.1361111111,0.1361111111,450000,0.8333333333
roaring powder,0.044225,0.08589166667,0.1275583333,0.1498005208,500000,0.5555555556
golden silk,0.04166666667,0.07738095238,0.1023809524,0.1232142857,400000,0.5555555556
shadow essence,0.04166666667,0.07282638889,0.09782638889,0.1134513889,2700000,0.5555555556
dragon scale,0.03333333333,0.06458333333,0.09236111111,0.117780754,2000000,0.4166666667
rising sun,0.044225,0.07993928571,0.113272619,0.1311297619,2500000,0.2777777778
divine leaf,0.02541964286,0.05041964286,0.07125297619,0.07125297619,1750000,0.2777777778
